wms_warehouse_name,wms_company_name,order_id,shipment_id,sku_code,closed_date,create_date,shipped_qty,original_order_qty,shipped_weight
BOSE_SH,CE,0324471457,287161.0,761529-0010,2021-06-01 19:29:36,2021-06-01 05:11:06,1.0,1.0,0.0
BOSE_SH,CE,0324471457,287161.0,789564-0020,2021-06-01 19:29:36,2021-06-01 05:11:06,5.0,5.0,0.0
BOSE_SH,CE,0324471457,287161.0,761529-0020,2021-06-01 19:29:36,2021-06-01 05:11:06,1.0,1.0,0.0
BOSE_SH,CE,0324471457,287161.0,767520-5140,2021-06-01 19:29:36,2021-06-01 05:11:06,10.0,10.0,0.0
BOSE_SH,CE,0324471457,287161.0,761529-0030,2021-06-01 19:29:36,2021-06-01 05:11:06,2.0,2.0,0.0
BOSE_SH,CE,0324471457,287161.0,839769-0100,2021-06-01 19:29:36,2021-06-01 05:11:06,10.0,10.0,0.0
BOSE_SH,CE,0324471457,287161.0,851337-0100,2021-06-01 19:29:36,2021-06-01 05:11:06,10.0,10.0,0.0
BOSE_SH,CE,0324471457,287161.0,794297-0300,2021-06-01 19:29:36,2021-06-01 05:11:06,4.0,4.0,0.0
BOSE_SH,CE,0324471458,287163.0,373511-5110,2021-06-01 19:30:14,2021-06-01 05:11:06,1.0,1.0,0.0
BOSE_SH,CE,0324471973,287129.0,805746-0010,2021-06-01 19:29:29,2021-06-01 01:06:06,1.0,1.0,0.0
BOSE_SH,CE,0324471974,287127.0,805746-0010,2021-06-01 19:29:29,2021-06-01 01:06:06,1.0,1.0,0.0
BOSE_SH,CE,0324472022,287143.0,373511-5110,2021-06-01 19:30:13,2021-06-01 03:06:02,1.0,1.0,0.0
BOSE_SH,CE,0324472023,287142.0,373511-5110,2021-06-01 19:30:13,2021-06-01 03:06:02,1.0,1.0,0.0
BOSE_SH,CE,0324472024,287139.0,373511-5110,2021-06-01 19:30:13,2021-06-01 03:06:02,1.0,1.0,0.0
BOSE_SH,CE,0324472038,287152.0,373511-5110,2021-06-01 19:29:31,2021-06-01 05:06:02,100.0,100.0,0.0
BOSE_SH,CE,0324472039,287166.0,373511-5110,2021-06-01 19:29:42,2021-06-01 05:11:06,30.0,30.0,0.0
BOSE_SH,CE,0324472040,287173.0,373511-5110,2021-06-01 19:29:49,2021-06-01 05:11:07,4.0,4.0,0.0
BOSE_SH,CE,0324472041,287169.0,373511-5110,2021-06-01 19:29:43,2021-06-01 05:11:07,100.0,100.0,0.0
BOSE_SH,CE,0324472164,287122.0,834167-0300,2021-06-01 19:29:12,2021-05-31 18:46:02,1.0,1.0,0.0
