dwd_wh_dsc_outbound_line_dtl_di.wms_company_id,dwd_wh_dsc_outbound_line_dtl_di.wms_company_name,dwd_wh_dsc_outbound_line_dtl_di.wms_warehouse_id,dwd_wh_dsc_outbound_line_dtl_di.wms_warehouse_name,dwd_wh_dsc_outbound_line_dtl_di.sku_code,dwd_wh_dsc_outbound_line_dtl_di.sku_name,dwd_wh_dsc_outbound_line_dtl_di.sku_desc,dwd_wh_dsc_outbound_line_dtl_di.sku_barcode,dwd_wh_dsc_outbound_line_dtl_di.batch_number,dwd_wh_dsc_outbound_line_dtl_di.serial_number,dwd_wh_dsc_outbound_line_dtl_di.vendor_sku_barcode,dwd_wh_dsc_outbound_line_dtl_di.order_id,dwd_wh_dsc_outbound_line_dtl_di.order_line,dwd_wh_dsc_outbound_line_dtl_di.order_status,dwd_wh_dsc_outbound_line_dtl_di.order_type,dwd_wh_dsc_outbound_line_dtl_di.launch_number,dwd_wh_dsc_outbound_line_dtl_di.pick_no,dwd_wh_dsc_outbound_line_dtl_di.pick_create_date,dwd_wh_dsc_outbound_line_dtl_di.required_ship_date,dwd_wh_dsc_outbound_line_dtl_di.inventory_status,dwd_wh_dsc_outbound_line_dtl_di.original_order_qty,dwd_wh_dsc_outbound_line_dtl_di.allocated_qty,dwd_wh_dsc_outbound_line_dtl_di.shipped_qty,dwd_wh_dsc_outbound_line_dtl_di.shipped_volume,dwd_wh_dsc_outbound_line_dtl_di.shipped_weight,dwd_wh_dsc_outbound_line_dtl_di.quantity_um,dwd_wh_dsc_outbound_line_dtl_di.volume_um,dwd_wh_dsc_outbound_line_dtl_di.weight_um,dwd_wh_dsc_outbound_line_dtl_di.std_shipped_volume,dwd_wh_dsc_outbound_line_dtl_di.std_shipped_weight,dwd_wh_dsc_outbound_line_dtl_di.priority,dwd_wh_dsc_outbound_line_dtl_di.closed_date,dwd_wh_dsc_outbound_line_dtl_di.create_date,dwd_wh_dsc_outbound_line_dtl_di.last_modified_date,dwd_wh_dsc_outbound_line_dtl_di.src_inc_day,dwd_wh_dsc_outbound_line_dtl_di.data_source,dwd_wh_dsc_outbound_line_dtl_di.shipment_id,dwd_wh_dsc_outbound_line_dtl_di.inc_day,dwd_wh_dsc_outbound_line_dtl_di.src
Pernod-Wine,Pernod-Wine,JIQ,JIQ,PJB733,PJB733,美丽时光·巴黎艺术年份香槟 6 X 75CL,null,null,null,null,31957182,463696,900.0,null,153082,null,null,2021-06-09 00:00:00,null,18.0,null,18.0,0.0,180.0,BT,null,null,null,null,0,2021-06-10 16:18:18,2021-06-09 12:25:29,2021-06-10 08:19:03,20210803,scale_jiq,83581,20210610,scale
Pernod-Wine,Pernod-Wine,JIQ,JIQ,009527,009527,马爹利尚选XXO干邑白兰地-有盒装 6 X 70CL,null,null,null,null,31957182,463695,900.0,null,153082,null,null,2021-06-09 00:00:00,null,12.0,null,12.0,0.0,234.36,BT,null,null,null,null,0,2021-06-10 16:18:18,2021-06-09 12:25:29,2021-06-10 08:19:03,20210803,scale_jiq,83581,20210610,scale
Pernod-Wine,Pernod-Wine,JIQ,JIQ,003906,003906,马爹利蓝带干邑白兰地-有盒装 12 X 70CL,null,null,null,null,31957182,463701,900.0,null,153082,null,null,2021-06-09 00:00:00,null,12.0,null,12.0,0.0,196.2,BT,null,null,null,null,0,2021-06-10 16:18:18,2021-06-09 12:25:29,2021-06-10 08:19:03,20210803,scale_jiq,83581,20210610,scale
Pernod-Wine,Pernod-Wine,JIQ,JIQ,PJB733,PJB733,美丽时光·巴黎艺术年份香槟 6 X 75CL,null,null,null,null,31957183,463698,900.0,null,153082,null,null,2021-06-09 00:00:00,null,18.0,null,18.0,0.0,180.0,BT,null,null,null,null,0,2021-06-10 16:18:18,2021-06-09 12:29:37,2021-06-10 08:19:04,20210803,scale_jiq,83582,20210610,scale
Pernod-Wine,Pernod-Wine,JIQ,JIQ,PJW699,PJW699,美丽时光·巴黎艺术1999年份香槟 1 X 150CL,null,null,null,null,31957183,463699,900.0,null,153082,null,null,2021-06-09 00:00:00,null,1.0,null,1.0,0.0,4.96,BT,null,null,null,null,0,2021-06-10 16:18:18,2021-06-09 12:29:37,2021-06-10 08:19:04,20210803,scale_jiq,83582,20210610,scale
Pernod-Wine,Pernod-Wine,JIQ,JIQ,003906,003906,马爹利蓝带干邑白兰地-有盒装 12 X 70CL,null,null,null,null,31957183,463697,900.0,null,153082,null,null,2021-06-09 00:00:00,null,12.0,null,12.0,0.0,196.2,BT,null,null,null,null,0,2021-06-10 16:18:18,2021-06-09 12:29:37,2021-06-10 08:19:04,20210803,scale_jiq,83582,20210610,scale
Pernod-Wine,Pernod-Wine,JIQ,JIQ,OSO200,OSO200,杰卡斯莫斯卡托桃红起泡葡萄酒 6 X 75CL,null,null,null,null,31957184,463703,900.0,null,153112,null,null,2021-06-10 00:00:00,null,12.0,null,12.0,177450.0,108.0,BT,null,null,null,null,0,2021-06-10 16:18:18,2021-06-10 02:17:50,2021-06-10 08:19:05,20210803,scale_jiq,83584,20210610,scale
Pernod-DF,Pernod-DF,JIQ,JIQ,XDTGL5208,XDTGL5208,TGL背包,null,null,null,null,16349890,463732,900.0,null,153116,null,null,2021-06-10 00:00:00,null,6.0,null,6.0,0.0,0.0,PC,null,null,null,null,0,2021-06-10 13:30:18,2021-06-10 04:20:12,2021-06-10 05:32:14,20210803,scale_jiq,83589,20210610,scale
Pernod-Wine,Pernod-Wine,JIQ,JIQ,KA0680,KA0680,甘露咖啡力娇酒(配制酒) 12 X 70CL,null,null,null,null,42022359,463667,900.0,null,153080,null,null,2021-06-09 00:00:00,null,360.0,null,360.0,0.0,5364.0,BT,null,null,null,null,0,2021-06-11 16:45:25,2021-06-09 09:16:16,2021-06-11 08:46:16,20210803,scale_jiq,83553,20210611,scale
Pernod-Wine,Pernod-Wine,JIQ,JIQ,KA0680,KA0680,甘露咖啡力娇酒(配制酒) 12 X 70CL,null,null,null,null,42022424,463668,900.0,null,153080,null,null,2021-06-09 00:00:00,null,360.0,null,360.0,0.0,5364.0,BT,null,null,null,null,0,2021-06-11 16:45:24,2021-06-09 09:18:09,2021-06-11 08:46:17,20210803,scale_jiq,83554,20210611,scale
