wms_company_id,sku_code,order_id,shipment_id,order_line,original_order_qty,shipped_qty,create_date,closed_date
Michelin,423336_115,3903869,178000.0,1144570.0,24.0,24.0,2021-06-08 08:06:03,2021-06-10 14:49:30
Michelin,423336_115,3903869,178000.0,1144571.0,102.0,102.0,2021-06-08 08:06:03,2021-06-10 14:49:30
Michelin,839180_101,3887723,176989.0,1138505.0,750.0,750.0,2021-06-04 03:56:01,2021-06-11 18:04:58
Michelin,839180_101,3887730,176990.0,1138506.0,750.0,750.0,2021-06-04 03:56:01,2021-06-11 18:04:58
Michelin,839180_101,3887733,176991.0,1138507.0,750.0,750.0,2021-06-04 03:56:01,2021-06-11 18:04:58
Michelin,428635_101,3899062,177707.0,1142308.0,420.0,420.0,2021-06-07 07:01:07,2021-06-11 18:05:36
Michelin,428635_101,3899064,177708.0,1142309.0,420.0,420.0,2021-06-07 07:06:05,2021-06-11 18:05:36
Michelin,439132_101,3899110,177712.0,1142313.0,405.0,405.0,2021-06-07 07:06:11,2021-06-11 08:39:47
Michelin,243266_101,3902638,177869.0,1143913.0,282.0,282.0,2021-06-08 02:31:03,2021-06-11 18:04:58
Michelin,243266_101,3902638,177869.0,1143912.0,222.0,222.0,2021-06-08 02:31:03,2021-06-11 18:04:58
Michelin,693182_102,3902640,177870.0,1143914.0,480.0,480.0,2021-06-08 02:31:05,2021-06-11 18:04:58
Michelin,243266_101,3908197,178207.0,1145710.0,152.0,152.0,2021-06-09 03:56:01,2021-06-11 18:04:58
Michelin,243266_101,3908197,178207.0,1145711.0,126.0,126.0,2021-06-09 03:56:01,2021-06-11 18:04:58
Michelin,243266_101,3908197,178207.0,1145708.0,70.0,70.0,2021-06-09 03:56:01,2021-06-11 18:04:58
Michelin,243266_101,3908197,178207.0,1145709.0,156.0,156.0,2021-06-09 03:56:01,2021-06-11 18:04:58
Michelin,693182_102,3908350,178219.0,1145744.0,400.0,400.0,2021-06-09 05:16:01,2021-06-11 18:04:58
Michelin,693182_102,3908350,178219.0,1145743.0,80.0,80.0,2021-06-09 05:16:01,2021-06-11 18:04:58
Michelin,876384_112,3914167,178395.0,1147121.0,100.0,100.0,2021-06-10 03:06:01,2021-06-11 13:23:59
Michelin,215487_110,3914968,178459.0,1147275.0,760.0,760.0,2021-06-10 06:46:02,2021-06-11 18:05:47
Michelin,215487_110,3914987,178460.0,1147276.0,760.0,760.0,2021-06-10 06:51:03,2021-06-11 18:05:47
Michelin,950403_106,3917840,178582.0,1148366.0,1760.0,1760.0,2021-06-11 00:16:02,2021-06-11 13:59:06
Michelin,665821_102,3918160,178602.0,1148447.0,400.0,400.0,2021-06-11 03:46:08,2021-06-11 12:26:52
Michelin,950403_106,3920448,178818.0,1149436.0,1760.0,1760.0,2021-06-11 11:11:01,2021-06-11 22:40:49
Michelin,370807_107,CTSC21061001,178495.0,1147424.0,58.0,58.0,2021-06-10 07:56:01,2021-06-11 10:29:49
