wms_company_id,sku_code,asn_id,original_qty,receive_qty,create_time,closed_date,asn_line_id,inc_day
Pernod,12417,ONEYLIVB11767400,2160,2160,2021/6/1 9:00,2021/6/3 16:16,249065,20210603
Pernod,12417,ONEYLIVB11767400,15120,12960,2021/6/1 9:00,2021/6/3 16:16,249022,20210603
Pernod,5797,OOLU2663763520,15840,15840,2021/5/31 8:28,2021/6/3 13:15,249015,20210603
Pernod,5797,OOLU2663763560,15840,15840,2021/5/31 8:30,2021/6/3 16:16,249017,20210603
Pernod,5797,OOLU2663763570,15840,15840,2021/5/31 8:31,2021/6/3 13:15,249018,20210603
Pernod,5797,OOLU2663766740,7200,7200,2021/5/31 8:29,2021/6/3 16:16,249064,20210603
Pernod,5797,OOLU2663766740,15840,8640,2021/5/31 8:29,2021/6/3 16:16,249016,20210603
Pernod,30012,ONEYGOTB03234400,20160,15120,2021/6/2 4:37,2021/6/4 13:33,249037,20210604
Pernod,30012,ONEYGOTB03234400,3360,3360,2021/6/2 4:37,2021/6/4 13:33,249095,20210604
Pernod,30012,ONEYGOTB03234400,1680,1680,2021/6/2 4:37,2021/6/4 13:33,249096,20210604
Pernod,BT0086,ONEYLIVB12153800,2400,2400,2021/6/2 2:26,2021/6/4 13:29,249031,20210604
Pernod,13849,ONEYLIVB12153800,1350,1350,2021/6/2 2:26,2021/6/4 13:29,249094,20210604
Pernod,13849,ONEYLIVB12153800,3240,1890,2021/6/2 2:26,2021/6/4 13:29,249033,20210604
Pernod,BT2206,ONEYLIVB12153800,660,660,2021/6/2 2:26,2021/6/4 13:29,249032,20210604
Pernod,11699,ONEYLIVB12153800,930,930,2021/6/2 2:26,2021/6/4 13:29,249030,20210604
Pernod,13531,ONEYLIVB12179900,36,36,2021/5/31 6:28,2021/6/4 15:59,249006,20210604
Pernod,15026,ONEYLIVB12179900,4800,4800,2021/5/31 6:28,2021/6/4 15:59,249004,20210604
Pernod,AB1626,ONEYLIVB12179900,2565,1821,2021/5/31 6:28,2021/6/4 15:59,249005,20210604
