,WH,COMPANY,Create DT,Confirm DT,Product,Description,TYPE,Status,TRSC #,Ship ID,awb,INV,PO,INB#,contract_no,From Loc,To Loc,Qty,UOM,BottlingDT,Transaction_type,ALLOCATION_ZONE
42,FAS,Pernod,5/31/2021,6/1/2021,011520,芝华士18年苏格兰威士忌-无盒装 6 X 70CL,Order Pick,Jin2 Normal,6426798,31956941,ONEYLIVB05462600,,20015311.0,295346.0,,2-28-C-15,SHIP-1,20,BT,2/10/2021  12:00:00 AM,Order Pick,A-FAS
43,FAS,Pernod,5/31/2021,6/1/2021,MU2730,玛姆红带香槟 6 X 75CL,Order Pick,Jin2 Normal,6426804,31956939,ONEYLEHB03707600,,20002015.0,300121.0,FRX-CNS-2102-0083,FS-62-D-017,SHIP-1,84,BT,2/6/2019  12:00:00 AM,Order Pick,A-FAS
44,FAS,Pernod,5/26/2021,6/1/2021,BT0030,百龄坛特醇苏格兰威士忌-无盒装 12 X 70CL,Order Pick,Jin2 Normal,6426834,20210527 PRC-1,ONEYLIVB03804400,,20015862.0,381542.0,,2-38-B-24,SHIP-1,312,BT,2/22/2021  12:00:00 AM,Order Pick,A-FAS
45,FAS,Pernod,5/26/2021,6/1/2021,BT0030,百龄坛特醇苏格兰威士忌-无盒装 12 X 70CL,Order Pick,Jin2 Normal,6426836,20210527 PRC-1,ONEYLIVB03804400,,20015862.0,381542.0,,2-38-B-26,SHIP-1,900,BT,2/22/2021  12:00:00 AM,Order Pick,A-FAS
46,FAS,Pernod,5/26/2021,6/1/2021,BT0030,百龄坛特醇苏格兰威士忌-无盒装 12 X 70CL,Order Pick,Jin2 Normal,6426838,20210527 PRC-1,ONEYLIVB03804400,,20015862.0,381542.0,,2-38-B-28,SHIP-1,900,BT,2/22/2021  12:00:00 AM,Order Pick,A-FAS
47,FAS,Pernod,5/26/2021,6/1/2021,BT0030,百龄坛特醇苏格兰威士忌-无盒装 12 X 70CL,Order Pick,Jin2 Normal,6426840,20210527 PRC-1,ONEYLIVB03804400,,20015862.0,381542.0,,2-38-B-30,SHIP-1,900,BT,2/22/2021  12:00:00 AM,Order Pick,A-FAS
48,FAS,Pernod,5/26/2021,6/1/2021,BT0030,百龄坛特醇苏格兰威士忌-无盒装 12 X 70CL,Order Pick,Jin2 Normal,6426842,20210527 PRC-1,ONEYLIVB03804400,,20015862.0,381542.0,,2-38-B-32,SHIP-1,900,BT,2/22/2021  12:00:00 AM,Order Pick,A-FAS
49,FAS,Pernod,5/26/2021,6/1/2021,BT0030,百龄坛特醇苏格兰威士忌-无盒装 12 X 70CL,Order Pick,Jin2 Normal,6426844,20210527 PRC-1,ONEYLIVB03804400,,20015862.0,381542.0,,2-38-B-33,SHIP-1,876,BT,2/22/2021  12:00:00 AM,Order Pick,A-FAS
50,FAS,Pernod,5/26/2021,6/1/2021,BT0030,百龄坛特醇苏格兰威士忌-无盒装 12 X 70CL,Order Pick,Jin2 Normal,6426846,20210527 PRC-1,ONEYLIVB07939300,,20015938.0,383756.0,,2-40-C-09,SHIP-1,900,BT,2/22/2021  12:00:00 AM,Order Pick,A-FAS
51,FAS,Pernod,5/26/2021,6/1/2021,BT0030,百龄坛特醇苏格兰威士忌-无盒装 12 X 70CL,Order Pick,Jin2 Normal,6426848,20210527 PRC-1,ONEYLIVB07939300,,20015938.0,383756.0,,2-40-C-14,SHIP-1,900,BT,2/22/2021  12:00:00 AM,Order Pick,A-FAS
